player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Caleb Johnson,12488,LB,HOU BAPT,4,15,0,100.0,0,0,183,47.7,48.5,0.0,65.4,51.6,63.4,0,4,0,17,13.0,7,0,2,115.3,6,0,270,0,143,330,20,0,0,20,0,0,310,43,144,40,15,32,6,4,0,70,44,11.7
Greg Vincent,12880,DI,HOU BAPT,4,1,0,,0,0,183,60.0,60.1,77.2,58.1,64.3,56.6,0,1,0,,16.7,1,0,0,0.0,0,1,0,0,0,68,68,0,68,0,0,0,0,40,28,0,2,4,0,2,0,0,0,
Jaylan Foster,13095,S,S CAROLINA,7,10,0,78.9,0,0,289,52.0,55.2,83.1,68.1,58.3,79.6,0,1,0,91,8.5,4,0,1,157.1,15,0,128,19,152,345,12,0,0,12,0,82,333,3,190,102,12,33,19,1,4,232,120,15.5
Joshua McMillon,13920,LB,ALABAMA,6,2,0,33.3,0,0,103,79.5,81.8,77.3,54.4,76.4,65.1,0,0,0,4,10.0,1,1,0,42.4,1,0,54,1,26,57,2,0,0,2,0,0,55,4,27,0,4,7,3,0,0,4,5,4.0
Joshua Carter,19821,CB,SAMFORD,5,1,0,64.7,0,0,282,67.7,65.5,82.8,57.0,53.8,70.2,0,0,0,38,12.5,2,1,0,130.0,11,0,13,198,134,251,7,0,0,7,0,0,244,2,115,33,4,13,17,0,2,142,42,12.9
Armond Lloyd,19822,DI,SAMFORD,6,3,1,,0,0,282,57.3,75.8,82.8,69.8,75.9,60.5,1,4,0,,8.7,2,0,0,0.0,0,0,0,0,1,293,293,31,261,1,0,0,0,132,160,0,8,18,0,5,0,0,0,
Coutrell Plair,20191,CB,SAMFORD,6,2,0,68.0,1,0,282,68.4,67.1,29.5,65.3,61.5,60.4,0,1,1,47,13.0,3,1,4,79.9,17,0,14,412,196,436,7,0,0,7,0,0,429,4,236,3,8,18,25,1,0,227,65,13.4
Larry Wilhoite,20771,S,TENN STATE,1,0,1,100.0,0,0,308,61.4,53.2,0.0,60.0,51.3,21.8,0,0,0,6,100.0,1,0,1,91.7,1,0,5,0,4,19,2,0,0,2,0,0,17,1,14,12,0,0,1,0,0,6,-2,6.0
Rashun Freeman,21870,LB,CHATTNOOGA,4,3,0,62.5,0,1,137,61.7,68.2,83.7,91.3,67.8,44.3,1,1,0,18,22.7,5,0,0,84.9,5,1,68,4,77,192,24,0,0,24,0,3,168,5,110,93,7,14,8,3,0,59,29,11.8
Mark Williams,21922,CB,E ILLINOIS,6,3,0,51.4,0,0,158,79.7,81.2,82.0,,81.4,64.7,0,0,2,28,12.5,3,3,0,47.4,18,0,42,304,177,348,2,0,0,2,0,0,346,0,171,0,5,18,35,0,0,221,64,12.3
Dami Adekunjo,21989,CB,ALAB A&M,2,0,0,66.7,0,0,104,57.4,62.0,74.5,,72.9,80.8,0,0,0,21,0.0,0,0,0,103.5,2,0,2,30,15,33,0,0,0,0,0,1,33,0,18,0,2,5,3,0,0,33,20,16.5
Jerrell Lawson,22006,S,CHATTNOOGA,4,5,0,42.9,0,0,137,78.2,78.6,82.1,,75.7,67.7,0,0,1,16,15.4,4,1,0,11.9,3,0,112,1,87,230,0,0,0,0,0,98,230,0,143,19,7,17,7,0,0,23,7,7.7
Gunner Covey,22057,ED,CITADEL,4,2,0,,0,0,139,62.4,57.8,80.2,55.3,57.9,35.9,1,0,0,,27.3,3,0,0,0.0,0,0,1,0,4,121,120,0,12,48,60,0,1,42,75,0,4,6,0,1,0,0,0,
Oshea Trujillo,22177,LB,IDAHO ST,6,4,1,62.1,0,0,186,76.8,82.0,90.2,90.4,80.8,46.5,3,6,0,17,20.5,9,6,0,74.6,18,2,54,9,216,421,114,0,0,114,0,1,307,33,172,243,20,31,29,11,0,145,91,8.1
Jarrell Jackson,22290,CB,ILL STATE,4,3,0,52.2,0,0,188,72.9,73.1,81.7,,68.6,66.6,0,0,0,42,11.5,3,2,0,68.9,12,0,17,240,153,259,2,0,0,2,0,0,257,0,106,0,7,20,23,0,0,129,57,10.8
Stefan Williams,22300,ED,CHARLES SO,2,0,0,,0,0,135,72.0,62.4,78.0,67.5,48.6,45.9,1,0,0,,25.0,1,0,0,0.0,0,1,0,0,2,27,27,0,0,27,0,0,0,10,15,0,2,3,0,2,0,0,0,
Devin Taylor,22317,S,VA TECH,10,5,0,51.5,0,1,337,62.3,56.8,85.8,52.0,44.8,68.4,0,0,2,37,13.1,8,3,0,65.0,17,0,185,46,352,611,1,0,0,1,0,294,610,11,248,83,11,48,33,0,2,198,91,11.6
Jordan Jones,22379,CB,CHATTNOOGA,4,4,0,16.7,0,0,137,67.0,68.4,6.7,69.2,72.2,39.3,2,0,0,8,25.0,2,0,2,39.6,1,0,57,171,86,234,6,0,0,6,0,0,228,4,144,0,1,2,6,2,0,8,7,8.0
Jarrod Stanley,22430,CB,CHARLES SO,2,1,0,80.0,0,0,135,72.4,67.6,80.2,,55.3,28.7,0,0,0,26,40.0,4,0,0,108.3,4,0,12,127,40,147,5,0,0,5,0,0,142,0,107,3,2,5,5,0,0,50,22,12.5
Eli Shepherd,22469,DI,CHATTNOOGA,2,1,0,,0,0,137,,70.5,8.2,64.3,73.2,77.0,0,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,77,77,20,57,0,0,0,0,14,63,0,5,7,0,1,0,0,0,
Raymond Crittenden,22562,S,E ILLINOIS,6,5,0,73.3,0,0,158,67.7,69.3,14.8,55.6,76.9,68.8,1,1,1,38,15.2,5,0,1,106.9,11,0,99,1,170,356,11,0,0,11,0,34,345,6,180,211,12,23,15,2,2,115,46,10.5
Nick Salley,22617,ED,CHARLES SO,3,2,0,0.0,0,0,135,64.7,67.1,85.9,58.5,68.6,62.2,1,2,0,,12.5,3,0,0,39.6,0,1,4,0,4,180,176,0,0,175,1,0,4,64,112,0,13,19,1,4,0,0,0,
Treylan Dunn,22639,LB,GRAMBLING,3,4,0,50.0,0,0,177,51.9,74.5,81.0,54.5,90.7,75.5,1,3,0,23,5.6,1,0,0,79.2,2,0,152,0,62,156,3,1,0,2,0,0,153,15,79,1,11,13,4,4,0,34,21,17.0
Raemo Trevino,22649,DI,IDAHO ST,6,4,1,,0,0,186,62.2,72.6,82.8,75.1,64.8,63.8,0,9,0,,7.7,1,0,1,0.0,0,2,0,0,3,213,213,90,54,34,35,0,0,119,91,0,8,8,0,11,0,0,0,
Edward King,22770,LB,CHARLES SO,3,4,0,100.0,0,0,135,67.7,57.8,78.4,56.5,50.3,48.2,0,0,0,9,23.5,4,1,0,119.8,4,0,85,0,33,93,2,0,0,2,0,2,91,4,56,4,2,9,4,0,1,13,31,3.3
Kennon Smith,22828,LB,IDAHO ST,6,3,0,75.0,0,0,186,73.5,72.7,86.1,62.4,69.6,68.0,2,1,1,7,9.5,2,1,1,37.5,3,1,132,12,115,234,76,0,0,76,0,0,158,31,88,14,10,16,4,4,0,4,2,1.3
Cortez Davis,22974,CB,HAWAII,8,7,0,52.2,0,2,180,64.6,63.1,87.5,89.8,43.5,46.4,3,4,0,43,20.5,8,2,2,91.9,12,1,64,356,215,512,75,0,0,75,0,1,437,27,270,15,8,24,23,8,1,176,78,14.7
Dru Prox,23093,LB,KANSAS,3,7,0,75.0,0,0,198,52.9,60.0,78.8,79.6,56.5,60.2,3,3,0,9,14.8,4,0,0,116.7,6,1,146,2,55,157,1,0,0,1,0,0,156,24,78,8,8,16,8,7,1,17,7,2.8
Reggie Stubblefield,23441,CB,PRVIEW A&M,2,1,0,80.0,0,0,270,83.9,67.7,81.4,58.9,30.3,61.1,1,0,1,7,14.3,1,0,0,39.6,4,0,21,0,42,109,10,0,0,10,0,0,99,8,59,78,1,5,5,1,0,13,19,3.3
Augie Contressa,23485,S,STNY BROOK,4,3,0,75.0,0,0,303,50.6,58.7,81.4,76.7,64.9,52.4,1,3,0,20,20.8,5,0,0,113.8,15,0,140,1,129,269,28,0,0,28,0,8,241,16,124,92,6,16,20,4,1,156,73,10.4
Malachi Newell,23500,LB,YNGTOWN ST,2,1,0,,0,0,353,61.1,62.0,71.7,,61.1,77.4,0,0,0,,0.0,0,0,0,0.0,0,0,21,0,5,22,1,0,0,1,0,0,21,0,17,0,1,2,0,0,0,0,0,
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,,0,0,136,60.0,61.6,0.0,67.7,62.0,59.0,0,4,0,,12.5,1,0,2,0.0,0,0,0,0,0,147,147,35,90,0,22,0,0,71,76,0,4,7,0,4,0,0,0,
Kingsley Onyirioha,23639,DI,TEXAS ST,5,1,0,,0,0,314,60.0,58.4,78.7,58.7,57.0,59.6,0,4,0,,14.3,1,0,0,0.0,0,0,0,0,0,142,142,0,34,6,102,0,0,75,67,0,3,5,0,4,0,0,0,
TJ Morrison,23647,S,STNY BROOK,4,5,0,57.1,0,0,303,64.6,67.9,84.5,,75.8,87.7,0,0,0,20,0.0,0,0,0,115.5,4,0,41,2,110,200,2,0,0,2,0,60,198,0,90,95,3,7,7,0,1,44,14,11.0
Gabe Foster,23762,CB,MCNEESE,3,2,0,100.0,0,0,217,69.2,71.6,76.6,,72.8,79.9,0,0,0,6,0.0,0,0,0,91.7,1,0,1,53,24,54,0,0,0,0,0,0,54,0,30,0,1,2,1,0,0,6,2,6.0
